Study	Taxon	TaxID	Geometric Mean Relative Abundance	Positive Share	Number of Positive/Total
Brinch 2020	AAV2	10804	8.090894480212116e-08	0.08	27/322
Brinch 2020	BKV	1891762	1.6627701097842013e-07	0.35	113/322
Brinch 2020	CMV	10359	7.852435770609e-08	0.0	1/322
Brinch 2020	EBV	10376	7.595056737942404e-08	0.07	22/322
Brinch 2020	HCV	11103	1.30113518189512e-07	0.0	1/322
Brinch 2020	HIV	11676	3.928738498176059e-08	0.0	1/322
Brinch 2020	HPV	10566	nan	0.0	0/322
Brinch 2020	HSV-1	10298	1.0917998517362178e-07	0.1	31/322
Brinch 2020	Influenza A	11320	nan	0.0	0/322
Brinch 2020	Influenza B	11520	nan	0.0	0/322
Brinch 2020	JCV	10632	2.3855116317776713e-07	0.48	155/322
Brinch 2020	MCV	493803	1.369433501329173e-07	0.25	82/322
Brinch 2020	Norovirus (GI)	122928	nan	0.0	0/322
Brinch 2020	Norovirus (GII)	122929	nan	0.0	0/322
Brinch 2020	SARS-COV-2	2697049	nan	0.0	0/322
Brinch 2020	Astroviridae	39733	7.887592220705992e-08	0.01	2/322
Ng 2019	AAV2	10804	nan	0.0	0/6
Ng 2019	BKV	1891762	3.575413880972332e-08	0.17	1/6
Ng 2019	CMV	10359	nan	0.0	0/6
Ng 2019	EBV	10376	nan	0.0	0/6
Ng 2019	HCV	11103	nan	0.0	0/6
Ng 2019	HIV	11676	nan	0.0	0/6
Ng 2019	HPV	10566	nan	0.0	0/6
Ng 2019	HSV-1	10298	nan	0.0	0/6
Ng 2019	Influenza A	11320	nan	0.0	0/6
Ng 2019	Influenza B	11520	nan	0.0	0/6
Ng 2019	JCV	10632	nan	0.0	0/6
Ng 2019	MCV	493803	nan	0.0	0/6
Ng 2019	Norovirus (GI)	122928	nan	0.0	0/6
Ng 2019	Norovirus (GII)	122929	nan	0.0	0/6
Ng 2019	SARS-COV-2	2697049	nan	0.0	0/6
Ng 2019	Astroviridae	39733	nan	0.0	0/6
Maritz 2019	AAV2	10804	nan	0.0	0/16
Maritz 2019	BKV	1891762	1.3566593253988023e-07	0.44	7/16
Maritz 2019	CMV	10359	nan	0.0	0/16
Maritz 2019	EBV	10376	3.2608008934594463e-06	0.06	1/16
Maritz 2019	HCV	11103	nan	0.0	0/16
Maritz 2019	HIV	11676	nan	0.0	0/16
Maritz 2019	HPV	10566	nan	0.0	0/16
Maritz 2019	HSV-1	10298	nan	0.0	0/16
Maritz 2019	Influenza A	11320	nan	0.0	0/16
Maritz 2019	Influenza B	11520	nan	0.0	0/16
Maritz 2019	JCV	10632	1.4592614162419217e-07	0.69	11/16
Maritz 2019	MCV	493803	nan	0.0	0/16
Maritz 2019	Norovirus (GI)	122928	nan	0.0	0/16
Maritz 2019	Norovirus (GII)	122929	nan	0.0	0/16
Maritz 2019	SARS-COV-2	2697049	nan	0.0	0/16
Maritz 2019	Astroviridae	39733	nan	0.0	0/16
Brumfield 2022	AAV2	10804	nan	0.0	0/12
Brumfield 2022	BKV	1891762	1.6497439590070485e-07	0.17	2/12
Brumfield 2022	CMV	10359	nan	0.0	0/12
Brumfield 2022	EBV	10376	nan	0.0	0/12
Brumfield 2022	HCV	11103	nan	0.0	0/12
Brumfield 2022	HIV	11676	nan	0.0	0/12
Brumfield 2022	HPV	10566	nan	0.0	0/12
Brumfield 2022	HSV-1	10298	nan	0.0	0/12
Brumfield 2022	Influenza A	11320	nan	0.0	0/12
Brumfield 2022	Influenza B	11520	nan	0.0	0/12
Brumfield 2022	JCV	10632	6.305891298111876e-07	0.42	5/12
Brumfield 2022	MCV	493803	7.643463608017507e-08	0.08	1/12
Brumfield 2022	Norovirus (GI)	122928	nan	0.0	0/12
Brumfield 2022	Norovirus (GII)	122929	7.336843279158076e-07	0.08	1/12
Brumfield 2022	SARS-COV-2	2697049	nan	0.0	0/12
Brumfield 2022	Astroviridae	39733	9.47096530522411e-07	0.17	2/12
Yang 2020	AAV2	10804	nan	0.0	0/7
Yang 2020	BKV	1891762	nan	0.0	0/7
Yang 2020	CMV	10359	nan	0.0	0/7
Yang 2020	EBV	10376	nan	0.0	0/7
Yang 2020	HCV	11103	nan	0.0	0/7
Yang 2020	HIV	11676	nan	0.0	0/7
Yang 2020	HPV	10566	nan	0.0	0/7
Yang 2020	HSV-1	10298	nan	0.0	0/7
Yang 2020	Influenza A	11320	1.630525418554245e-07	0.14	1/7
Yang 2020	Influenza B	11520	nan	0.0	0/7
Yang 2020	JCV	10632	nan	0.0	0/7
Yang 2020	MCV	493803	nan	0.0	0/7
Yang 2020	Norovirus (GI)	122928	5.489204243602224e-06	1.0	7/7
Yang 2020	Norovirus (GII)	122929	2.702577545755432e-05	1.0	7/7
Yang 2020	SARS-COV-2	2697049	nan	0.0	0/7
Yang 2020	Astroviridae	39733	0.0006850401112207879	1.0	7/7
Spurbeck 2023	AAV2	10804	6.690502367509064e-07	0.31	17/55
Spurbeck 2023	BKV	1891762	2.1181558330319184e-07	0.15	8/55
Spurbeck 2023	CMV	10359	7.843015765049925e-08	0.02	1/55
Spurbeck 2023	EBV	10376	1.2877719613410857e-07	0.02	1/55
Spurbeck 2023	HCV	11103	nan	0.0	0/55
Spurbeck 2023	HIV	11676	nan	0.0	0/55
Spurbeck 2023	HPV	10566	nan	0.0	0/55
Spurbeck 2023	HSV-1	10298	nan	0.0	0/55
Spurbeck 2023	Influenza A	11320	nan	0.0	0/55
Spurbeck 2023	Influenza B	11520	nan	0.0	0/55
Spurbeck 2023	JCV	10632	1.8114172978671223e-07	0.15	8/55
Spurbeck 2023	MCV	493803	6.605644798225784e-08	0.04	2/55
Spurbeck 2023	Norovirus (GI)	122928	3.270336543373449e-07	0.24	13/55
Spurbeck 2023	Norovirus (GII)	122929	3.2305550139674507e-07	0.24	13/55
Spurbeck 2023	SARS-COV-2	2697049	1.9085639186290292e-07	0.11	6/55
Spurbeck 2023	Astroviridae	39733	1.112505104625246e-06	0.84	46/55
Crits-Christoph 2023 Panel-enriched	AAV2	10804	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	BKV	1891762	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	CMV	10359	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	EBV	10376	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	HCV	11103	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	HIV	11676	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	HPV	10566	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	HSV-1	10298	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	Influenza A	11320	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	Influenza B	11520	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	JCV	10632	3.3973622879196562e-06	0.09	1/11
Crits-Christoph 2023 Panel-enriched	MCV	493803	nan	0.0	0/11
Crits-Christoph 2023 Panel-enriched	Norovirus (GI)	122928	8.288025460814219e-06	0.09	1/11
Crits-Christoph 2023 Panel-enriched	Norovirus (GII)	122929	6.8077006926108095e-06	0.27	3/11
Crits-Christoph 2023 Panel-enriched	SARS-COV-2	2697049	0.035430851750594926	1.0	11/11
Crits-Christoph 2023 Panel-enriched	Astroviridae	39733	nan	0.0	0/11
Crits-Christoph 2023 Unenriched	AAV2	10804	3.128480728105086e-08	0.14	1/7
Crits-Christoph 2023 Unenriched	BKV	1891762	5.586804868437559e-07	0.43	3/7
Crits-Christoph 2023 Unenriched	CMV	10359	7.442540886435648e-08	0.14	1/7
Crits-Christoph 2023 Unenriched	EBV	10376	nan	0.0	0/7
Crits-Christoph 2023 Unenriched	HCV	11103	nan	0.0	0/7
Crits-Christoph 2023 Unenriched	HIV	11676	3.128480728105086e-08	0.14	1/7
Crits-Christoph 2023 Unenriched	HPV	10566	nan	0.0	0/7
Crits-Christoph 2023 Unenriched	HSV-1	10298	nan	0.0	0/7
Crits-Christoph 2023 Unenriched	Influenza A	11320	nan	0.0	0/7
Crits-Christoph 2023 Unenriched	Influenza B	11520	nan	0.0	0/7
Crits-Christoph 2023 Unenriched	JCV	10632	5.121164056352697e-07	0.43	3/7
Crits-Christoph 2023 Unenriched	MCV	493803	1.70860149501468e-06	1.0	7/7
Crits-Christoph 2023 Unenriched	Norovirus (GI)	122928	6.080213041727047e-08	0.57	4/7
Crits-Christoph 2023 Unenriched	Norovirus (GII)	122929	8.097049831193157e-08	0.71	5/7
Crits-Christoph 2023 Unenriched	SARS-COV-2	2697049	4.333317669463412e-07	0.71	5/7
Crits-Christoph 2023 Unenriched	Astroviridae	39733	2.4789097114558316e-07	1.0	7/7
Rothman 2021 Unenriched	AAV2	10804	2.9161516013900714e-07	0.01	1/97
Rothman 2021 Unenriched	BKV	1891762	nan	0.0	0/97
Rothman 2021 Unenriched	CMV	10359	6.099548163770667e-08	0.01	1/97
Rothman 2021 Unenriched	EBV	10376	1.235492976194766e-07	0.03	3/97
Rothman 2021 Unenriched	HCV	11103	nan	0.0	0/97
Rothman 2021 Unenriched	HIV	11676	3.045840508825932e-07	0.01	1/97
Rothman 2021 Unenriched	HPV	10566	nan	0.0	0/97
Rothman 2021 Unenriched	HSV-1	10298	1.634777961650382e-07	0.23	22/97
Rothman 2021 Unenriched	Influenza A	11320	nan	0.0	0/97
Rothman 2021 Unenriched	Influenza B	11520	nan	0.0	0/97
Rothman 2021 Unenriched	JCV	10632	1.9234476315305185e-07	0.02	2/97
Rothman 2021 Unenriched	MCV	493803	2.1832831870702934e-07	0.02	2/97
Rothman 2021 Unenriched	Norovirus (GI)	122928	1.2379482507544744e-06	0.59	57/97
Rothman 2021 Unenriched	Norovirus (GII)	122929	1.6709987749080949e-06	0.56	54/97
Rothman 2021 Unenriched	SARS-COV-2	2697049	6.075939223019483e-07	0.24	23/97
Rothman 2021 Unenriched	Astroviridae	39733	1.0935889532448426e-06	0.43	42/97
Rothman 2021 Panel-enriched	AAV2	10804	4.8491164109776714e-08	0.08	20/266
Rothman 2021 Panel-enriched	BKV	1891762	5.3995428787331913e-08	0.23	62/266
Rothman 2021 Panel-enriched	CMV	10359	6.338656537734957e-08	0.03	8/266
Rothman 2021 Panel-enriched	EBV	10376	1.0754036000101296e-07	0.02	5/266
Rothman 2021 Panel-enriched	HCV	11103	nan	0.0	0/266
Rothman 2021 Panel-enriched	HIV	11676	5.868026517522038e-08	0.06	15/266
Rothman 2021 Panel-enriched	HPV	10566	nan	0.0	0/266
Rothman 2021 Panel-enriched	HSV-1	10298	1.0455545068883811e-07	0.17	46/266
Rothman 2021 Panel-enriched	Influenza A	11320	7.418284714882335e-07	0.05	13/266
Rothman 2021 Panel-enriched	Influenza B	11520	nan	0.0	0/266
Rothman 2021 Panel-enriched	JCV	10632	7.640400895999722e-08	0.27	71/266
Rothman 2021 Panel-enriched	MCV	493803	4.536841924168897e-08	0.13	35/266
Rothman 2021 Panel-enriched	Norovirus (GI)	122928	6.743424125300137e-07	0.6	160/266
Rothman 2021 Panel-enriched	Norovirus (GII)	122929	1.12726730607862e-06	0.68	180/266
Rothman 2021 Panel-enriched	SARS-COV-2	2697049	1.8264880609569894e-06	0.79	209/266
Rothman 2021 Panel-enriched	Astroviridae	39733	1.1800765712184002e-06	0.58	154/266
