Virus	Study	Median	Lower	Upper
CMV	Crits-Christoph	2.58 x 10⁻¹²	2.90 x 10⁻¹⁴	8.30 x 10⁻¹¹
CMV	Spurbeck	8.95 x 10⁻¹³	2.46 x 10⁻¹⁴	1.24 x 10⁻¹¹
CMV	Brinch	5.53 x 10⁻¹³	1.30 x 10⁻¹⁴	8.99 x 10⁻¹²
EBV	Rothman	1.84 x 10⁻¹²	3.69 x 10⁻¹⁴	2.62 x 10⁻¹¹
EBV	Crits-Christoph	1.77 x 10⁻¹²	1.50 x 10⁻¹⁴	5.51 x 10⁻¹¹
EBV	Spurbeck	7.75 x 10⁻¹³	1.68 x 10⁻¹⁴	7.95 x 10⁻¹²
EBV	Brinch	2.71 x 10⁻¹¹	7.14 x 10⁻¹²	9.35 x 10⁻¹¹
HCV	Rothman	6.37 x 10⁻¹¹	1.33 x 10⁻¹²	1.03 x 10⁻⁹
HCV	Crits-Christoph	1.59 x 10⁻¹⁰	2.09 x 10⁻¹²	3.73 x 10⁻⁹
HCV	Spurbeck	1.62 x 10⁻¹¹	3.22 x 10⁻¹³	2.84 x 10⁻¹⁰
HCV	Brinch	1.58 x 10⁻¹⁰	5.70 x 10⁻¹²	1.91 x 10⁻⁹
HIV	Rothman	1.49 x 10⁻⁹	3.45 x 10⁻¹¹	1.42 x 10⁻⁸
HIV	Crits-Christoph	3.82 x 10⁻⁹	1.17 x 10⁻¹⁰	5.09 x 10⁻⁸
HIV	Spurbeck	1.33 x 10⁻¹⁰	2.18 x 10⁻¹²	2.21 x 10⁻⁹
HIV	Brinch	9.71 x 10⁻¹⁰	2.40 x 10⁻¹¹	1.38 x 10⁻⁸
HPV	Rothman	1.92 x 10⁻¹²	3.50 x 10⁻¹⁴	3.03 x 10⁻¹¹
HPV	Crits-Christoph	4.08 x 10⁻¹²	3.39 x 10⁻¹⁴	1.00 x 10⁻¹⁰
HPV	Spurbeck	5.81 x 10⁻¹³	1.17 x 10⁻¹⁴	9.85 x 10⁻¹²
HPV	Brinch	4.35 x 10⁻¹³	8.79 x 10⁻¹⁵	8.73 x 10⁻¹²
HSV-1	Rothman	4.01 x 10⁻¹⁰	1.41 x 10⁻¹⁰	8.23 x 10⁻¹⁰
HSV-1	Crits-Christoph	3.00 x 10⁻¹²	4.21 x 10⁻¹⁴	7.60 x 10⁻¹¹
HSV-1	Spurbeck	4.47 x 10⁻¹³	8.07 x 10⁻¹⁵	7.02 x 10⁻¹²
HSV-1	Brinch	1.02 x 10⁻¹²	5.20 x 10⁻¹⁴	1.16 x 10⁻¹¹
JCV	Rothman	2.21 x 10⁻¹¹	1.08 x 10⁻¹²	1.96 x 10⁻¹⁰
JCV	Crits-Christoph	5.24 x 10⁻¹⁰	3.30 x 10⁻¹¹	5.57 x 10⁻⁹
JCV	Spurbeck	1.94 x 10⁻¹¹	1.64 x 10⁻¹²	1.07 x 10⁻¹⁰
JCV	Brinch	1.45 x 10⁻⁹	6.22 x 10⁻¹⁰	3.22 x 10⁻⁹
MCV	Rothman	1.61 x 10⁻¹²	2.31 x 10⁻¹⁴	2.38 x 10⁻¹¹
MCV	Crits-Christoph	1.24 x 10⁻⁸	5.15 x 10⁻⁹	2.97 x 10⁻⁸
MCV	Spurbeck	2.56 x 10⁻¹²	8.84 x 10⁻¹⁴	2.05 x 10⁻¹¹
MCV	Brinch	1.96 x 10⁻¹⁰	8.48 x 10⁻¹¹	4.70 x 10⁻¹⁰
